index,normal5Price,resourceGroupName
96,4850,"5座经济4850+5座舒适5300+7座9700+9座12150+12座15400+14座16200+19座19850"
97,4900,"5座经济4900+5座舒适5350+7座9800+9座12250+12座15550+14座16350+19座20050"
98,4950,"5座经济4950+5座舒适5400+7座9900+9座12400+12座15700+14座16500+19座20250"
99,5000,"5座经济5000+5座舒适5450+7座10000+9座12500+12座15850+14座16700+19座20450"
100,5050,"5座经济5050+5座舒适5500+7座10100+9座12650+12座16000+14座16850+19座20650"
101,5100,"5座经济5100+5座舒适5550+7座10200+9座12750+12座16150+14座17000+19座20850"
102,5150,"5座经济5150+5座舒适5600+7座10300+9座12900+12座16350+14座17200+19座21050"
103,5200,"5座经济5200+5座舒适5650+7座10400+9座13000+12座16500+14座17350+19座21250"
104,5250,"5座经济5250+5座舒适5700+7座10500+9座13150+12座16650+14座17500+19座21450"
105,5300,"5座经济5300+5座舒适5750+7座10600+9座13250+12座16800+14座17700+19座21650"
106,5350,"5座经济5350+5座舒适5800+7座10700+9座13400+12座16950+14座17850+19座21850"
107,5400,"5座经济5400+5座舒适5850+7座10800+9座13500+12座17100+14座18000+19座22050"
108,5450,"5座经济5450+5座舒适5950+7座10900+9座13650+12座17300+14座18200+19座22300"
109,5500,"5座经济5500+5座舒适6000+7座11000+9座13750+12座17450+14座18350+19座22500"
110,5550,"5座经济5550+5座舒适6050+7座11100+9座13900+12座17600+14座18500+19座22700"
111,5600,"5座经济5600+5座舒适6100+7座11200+9座14000+12座17750+14座18700+19座22900"
112,5650,"5座经济5650+5座舒适6150+7座11300+9座14150+12座17900+14座18850+19座23100"
113,5700,"5座经济5700+5座舒适6200+7座11400+9座14250+12座18050+14座19000+19座23300"
114,5750,"5座经济5750+5座舒适6250+7座11500+9座14400+12座18250+14座19200+19座23500"
115,5800,"5座经济5800+5座舒适6300+7座11600+9座14500+12座18400+14座19350+19座23700"
116,5850,"5座经济5850+5座舒适6350+7座11700+9座14650+12座18550+14座19500+19座23900"
117,5900,"5座经济5900+5座舒适6400+7座11800+9座14750+12座18700+14座19700+19座24100"
118,5950,"5座经济5950+5座舒适6450+7座11900+9座14900+12座18850+14座19850+19座24300"
119,6000,"5座经济6000+5座舒适6500+7座12000+9座15000+12座19000+14座20000+19座24500"
120,6050,"5座经济6050+5座舒适6600+7座12100+9座15150+12座19200+14座20200+19座24750"
121,6100,"5座经济6100+5座舒适6650+7座12200+9座15250+12座19350+14座20350+19座24950"
122,6150,"5座经济6150+5座舒适6700+7座12300+9座15400+12座19500+14座20500+19座25150"
123,6200,"5座经济6200+5座舒适6750+7座12400+9座15500+12座19650+14座20700+19座25350"
124,6250,"5座经济6250+5座舒适6800+7座12500+9座15650+12座19800+14座20850+19座25550"
125,6300,"5座经济6300+5座舒适6850+7座12600+9座15750+12座19950+14座21000+19座25750"
126,6350,"5座经济6350+5座舒适6900+7座12700+9座15900+12座20150+14座21200+19座25950"
127,6400,"5座经济6400+5座舒适6950+7座12800+9座16000+12座20300+14座21350+19座26150"
128,6450,"5座经济6450+5座舒适7000+7座12900+9座16150+12座20450+14座21500+19座26350"
129,6500,"5座经济6500+5座舒适7050+7座13000+9座16250+12座20600+14座21700+19座26550"
130,6550,"5座经济6550+5座舒适7100+7座13100+9座16400+12座20750+14座21850+19座26750"
131,6600,"5座经济6600+5座舒适7150+7座13200+9座16500+12座20900+14座22000+19座26950"
132,6650,"5座经济6650+5座舒适7250+7座13300+9座16650+12座21100+14座22200+19座27200"
133,6700,"5座经济6700+5座舒适7300+7座13400+9座16750+12座21250+14座22350+19座27400"
134,6750,"5座经济6750+5座舒适7350+7座13500+9座16900+12座21400+14座22500+19座27600"
135,6800,"5座经济6800+5座舒适7400+7座13600+9座17000+12座21550+14座22700+19座27800"
136,6850,"5座经济6850+5座舒适7450+7座13700+9座17150+12座21700+14座22850+19座28000"
137,6900,"5座经济6900+5座舒适7500+7座13800+9座17250+12座21850+14座23000+19座28200"
138,6950,"5座经济6950+5座舒适7550+7座13900+9座17400+12座22050+14座23200+19座28400"
139,7000,"5座经济7000+5座舒适7600+7座14000+9座17500+12座22200+14座23350+19座28600"
140,7050,"5座经济7050+5座舒适7650+7座14100+9座17650+12座22350+14座23500+19座28800"
141,7100,"5座经济7100+5座舒适7700+7座14200+9座17750+12座22500+14座23700+19座29000"
142,7150,"5座经济7150+5座舒适7750+7座14300+9座17900+12座22650+14座23850+19座29200"
143,7200,"5座经济7200+5座舒适7800+7座14400+9座18000+12座22800+14座24000+19座29400"
144,7250,"5座经济7250+5座舒适7900+7座14500+9座18150+12座23000+14座24200+19座29650"
145,7300,"5座经济7300+5座舒适7950+7座14600+9座18250+12座23150+14座24350+19座29850"
146,7350,"5座经济7350+5座舒适8000+7座14700+9座18400+12座23300+14座24500+19座30050"
147,7400,"5座经济7400+5座舒适8050+7座14800+9座18500+12座23450+14座24700+19座30250"
148,7450,"5座经济7450+5座舒适8100+7座14900+9座18650+12座23600+14座24850+19座30450"
149,7500,"5座经济7500+5座舒适8150+7座15000+9座18750+12座23750+14座25000+19座30650"
150,7550,"5座经济7550+5座舒适8200+7座15100+9座18900+12座23950+14座25200+19座30850"
151,7600,"5座经济7600+5座舒适8250+7座15200+9座19000+12座24100+14座25350+19座31050"
152,7650,"5座经济7650+5座舒适8300+7座15300+9座19150+12座24250+14座25500+19座31250"
153,7700,"5座经济7700+5座舒适8350+7座15400+9座19250+12座24400+14座25700+19座31450"
154,7750,"5座经济7750+5座舒适8400+7座15500+9座19400+12座24550+14座25850+19座31650"
155,7800,"5座经济7800+5座舒适8450+7座15600+9座19500+12座24700+14座26000+19座31850"
156,7850,"5座经济7850+5座舒适8550+7座15700+9座19650+12座24900+14座26200+19座32100"
157,7900,"5座经济7900+5座舒适8600+7座15800+9座19750+12座25050+14座26350+19座32300"
158,7950,"5座经济7950+5座舒适8650+7座15900+9座19900+12座25200+14座26500+19座32500"
159,8000,"5座经济8000+5座舒适8700+7座16000+9座20000+12座25350+14座26700+19座32700"
160,8050,"5座经济8050+5座舒适8750+7座16100+9座20150+12座25500+14座26850+19座32900"
161,8100,"5座经济8100+5座舒适8800+7座16200+9座20250+12座25650+14座27000+19座33100"
162,8150,"5座经济8150+5座舒适8850+7座16300+9座20400+12座25850+14座27200+19座33300"
163,8200,"5座经济8200+5座舒适8900+7座16400+9座20500+12座26000+14座27350+19座33500"
164,8250,"5座经济8250+5座舒适8950+7座16500+9座20650+12座26150+14座27500+19座33700"
165,8300,"5座经济8300+5座舒适9000+7座16600+9座20750+12座26300+14座27700+19座33900"
166,8350,"5座经济8350+5座舒适9050+7座16700+9座20900+12座26450+14座27850+19座34100"
167,8400,"5座经济8400+5座舒适9100+7座16800+9座21000+12座26600+14座28000+19座34300"
168,8450,"5座经济8450+5座舒适9200+7座16900+9座21150+12座26800+14座28200+19座34550"
169,8500,"5座经济8500+5座舒适9250+7座17000+9座21250+12座26950+14座28350+19座34750"
170,8550,"5座经济8550+5座舒适9300+7座17100+9座21400+12座27100+14座28500+19座34950"
171,8600,"5座经济8600+5座舒适9350+7座17200+9座21500+12座27250+14座28700+19座35150"
172,8650,"5座经济8650+5座舒适9400+7座17300+9座21650+12座27400+14座28850+19座35350"
173,8700,"5座经济8700+5座舒适9450+7座17400+9座21750+12座27550+14座29000+19座35550"
174,8750,"5座经济8750+5座舒适9500+7座17500+9座21900+12座27750+14座29200+19座35750"
175,8800,"5座经济8800+5座舒适9550+7座17600+9座22000+12座27900+14座29350+19座35950"
176,8850,"5座经济8850+5座舒适9600+7座17700+9座22150+12座28050+14座29500+19座36150"
177,8900,"5座经济8900+5座舒适9650+7座17800+9座22250+12座28200+14座29700+19座36350"
178,8950,"5座经济8950+5座舒适9700+7座17900+9座22400+12座28350+14座29850+19座36550"
179,9000,"5座经济9000+5座舒适9750+7座18000+9座22500+12座28500+14座30000+19座36750"
180,9050,"5座经济9050+5座舒适9850+7座18100+9座22650+12座28700+14座30200+19座37000"
181,9100,"5座经济9100+5座舒适9900+7座18200+9座22750+12座28850+14座30350+19座37200"
182,9150,"5座经济9150+5座舒适9950+7座18300+9座22900+12座29000+14座30500+19座37400"
183,9200,"5座经济9200+5座舒适10000+7座18400+9座23000+12座29150+14座30700+19座37600"
184,9250,"5座经济9250+5座舒适10050+7座18500+9座23150+12座29300+14座30850+19座37800"
185,9300,"5座经济9300+5座舒适10100+7座18600+9座23250+12座29450+14座31000+19座38000"
186,9350,"5座经济9350+5座舒适10150+7座18700+9座23400+12座29650+14座31200+19座38200"
187,9400,"5座经济9400+5座舒适10200+7座18800+9座23500+12座29800+14座31350+19座38400"
188,9450,"5座经济9450+5座舒适10250+7座18900+9座23650+12座29950+14座31500+19座38600"
189,9500,"5座经济9500+5座舒适10300+7座19000+9座23750+12座30100+14座31700+19座38800"
190,9550,"5座经济9550+5座舒适10350+7座19100+9座23900+12座30250+14座31850+19座39000"
191,9600,"5座经济9600+5座舒适10400+7座19200+9座24000+12座30400+14座32000+19座39200"
192,9650,"5座经济9650+5座舒适10500+7座19300+9座24150+12座30600+14座32200+19座39450"
193,9700,"5座经济9700+5座舒适10550+7座19400+9座24250+12座30750+14座32350+19座39650"
194,9750,"5座经济9750+5座舒适10600+7座19500+9座24400+12座30900+14座32500+19座39850"
195,9800,"5座经济9800+5座舒适10650+7座19600+9座24500+12座31050+14座32700+19座40050"
196,9850,"5座经济9850+5座舒适10700+7座19700+9座24650+12座31200+14座32850+19座40250"
197,9900,"5座经济9900+5座舒适10750+7座19800+9座24750+12座31350+14座33000+19座40450"
198,9950,"5座经济9950+5座舒适10800+7座19900+9座24900+12座31550+14座33200+19座40650"
199,10000,"5座经济10000+5座舒适10850+7座20000+9座25000+12座31700+14座33350+19座40850"
200,10050,"5座经济10050+5座舒适10900+7座20100+9座25150+12座31850+14座33500+19座41050"
201,10100,"5座经济10100+5座舒适10950+7座20200+9座25250+12座32000+14座33700+19座41250"
202,10150,"5座经济10150+5座舒适11000+7座20300+9座25400+12座32150+14座33850+19座41450"
203,10200,"5座经济10200+5座舒适11050+7座20400+9座25500+12座32300+14座34000+19座41650"
204,10250,"5座经济10250+5座舒适11150+7座20500+9座25650+12座32500+14座34200+19座41900"
205,10300,"5座经济10300+5座舒适11200+7座20600+9座25750+12座32650+14座34350+19座42100"
206,10350,"5座经济10350+5座舒适11250+7座20700+9座25900+12座32800+14座34500+19座42300"
207,10400,"5座经济10400+5座舒适11300+7座20800+9座26000+12座32950+14座34700+19座42500"
208,10450,"5座经济10450+5座舒适11350+7座20900+9座26150+12座33100+14座34850+19座42700"
209,10500,"5座经济10500+5座舒适11400+7座21000+9座26250+12座33250+14座35000+19座42900"
210,10550,"5座经济10550+5座舒适11450+7座21100+9座26400+12座33450+14座35200+19座43100"
211,10600,"5座经济10600+5座舒适11500+7座21200+9座26500+12座33600+14座35350+19座43300"
212,10650,"5座经济10650+5座舒适11550+7座21300+9座26650+12座33750+14座35500+19座43500"
213,10700,"5座经济10700+5座舒适11600+7座21400+9座26750+12座33900+14座35700+19座43700"
214,10750,"5座经济10750+5座舒适11650+7座21500+9座26900+12座34050+14座35850+19座43900"
215,10800,"5座经济10800+5座舒适11700+7座21600+9座27000+12座34200+14座36000+19座44100"
216,10850,"5座经济10850+5座舒适11800+7座21700+9座27150+12座34400+14座36200+19座44350"
217,10900,"5座经济10900+5座舒适11850+7座21800+9座27250+12座34550+14座36350+19座44550"
218,10950,"5座经济10950+5座舒适11900+7座21900+9座27400+12座34700+14座36500+19座44750"
219,11000,"5座经济11000+5座舒适11950+7座22000+9座27500+12座34850+14座36700+19座44950"
220,11050,"5座经济11050+5座舒适12000+7座22100+9座27650+12座35000+14座36850+19座45150"
221,11100,"5座经济11100+5座舒适12050+7座22200+9座27750+12座35150+14座37000+19座45350"
222,11150,"5座经济11150+5座舒适12100+7座22300+9座27900+12座35350+14座37200+19座45550"
223,11200,"5座经济11200+5座舒适12150+7座22400+9座28000+12座35500+14座37350+19座45750"
224,11250,"5座经济11250+5座舒适12200+7座22500+9座28150+12座35650+14座37500+19座45950"
225,11300,"5座经济11300+5座舒适12250+7座22600+9座28250+12座35800+14座37700+19座46150"
226,11350,"5座经济11350+5座舒适12300+7座22700+9座28400+12座35950+14座37850+19座46350"
227,11400,"5座经济11400+5座舒适12350+7座22800+9座28500+12座36100+14座38000+19座46550"
228,11450,"5座经济11450+5座舒适12450+7座22900+9座28650+12座36300+14座38200+19座46800"
229,11500,"5座经济11500+5座舒适12500+7座23000+9座28750+12座36450+14座38350+19座47000"
230,11550,"5座经济11550+5座舒适12550+7座23100+9座28900+12座36600+14座38500+19座47200"
231,11600,"5座经济11600+5座舒适12600+7座23200+9座29000+12座36750+14座38700+19座47400"
232,11650,"5座经济11650+5座舒适12650+7座23300+9座29150+12座36900+14座38850+19座47600"
233,11700,"5座经济11700+5座舒适12700+7座23400+9座29250+12座37050+14座39000+19座47800"
234,11750,"5座经济11750+5座舒适12750+7座23500+9座29400+12座37250+14座39200+19座48000"
235,11800,"5座经济11800+5座舒适12800+7座23600+9座29500+12座37400+14座39350+19座48200"
236,11850,"5座经济11850+5座舒适12850+7座23700+9座29650+12座37550+14座39500+19座48400"
237,11900,"5座经济11900+5座舒适12900+7座23800+9座29750+12座37700+14座39700+19座48600"
238,11950,"5座经济11950+5座舒适12950+7座23900+9座29900+12座37850+14座39850+19座48800"
239,12000,"5座经济12000+5座舒适13000+7座24000+9座30000+12座38000+14座40000+19座49000"
240,12050,"5座经济12050+5座舒适13100+7座24100+9座30150+12座38200+14座40200+19座49250"
241,12100,"5座经济12100+5座舒适13150+7座24200+9座30250+12座38350+14座40350+19座49450"
242,12150,"5座经济12150+5座舒适13200+7座24300+9座30400+12座38500+14座40500+19座49650"
243,12200,"5座经济12200+5座舒适13250+7座24400+9座30500+12座38650+14座40700+19座49850"
244,12250,"5座经济12250+5座舒适13300+7座24500+9座30650+12座38800+14座40850+19座50050"
245,12300,"5座经济12300+5座舒适13350+7座24600+9座30750+12座38950+14座41000+19座50250"
246,12350,"5座经济12350+5座舒适13400+7座24700+9座30900+12座39150+14座41200+19座50450"
247,12400,"5座经济12400+5座舒适13450+7座24800+9座31000+12座39300+14座41350+19座50650"
248,12450,"5座经济12450+5座舒适13500+7座24900+9座31150+12座39450+14座41500+19座50850"
249,12500,"5座经济12500+5座舒适13550+7座25000+9座31250+12座39600+14座41700+19座51050"
250,12550,"5座经济12550+5座舒适13600+7座25100+9座31400+12座39750+14座41850+19座51250"
251,12600,"5座经济12600+5座舒适13650+7座25200+9座31500+12座39900+14座42000+19座51450"
252,12650,"5座经济12650+5座舒适13750+7座25300+9座31650+12座40100+14座42200+19座51700"
253,12700,"5座经济12700+5座舒适13800+7座25400+9座31750+12座40250+14座42350+19座51900"
254,12750,"5座经济12750+5座舒适13850+7座25500+9座31900+12座40400+14座42500+19座52100"
255,12800,"5座经济12800+5座舒适13900+7座25600+9座32000+12座40550+14座42700+19座52300"
256,12850,"5座经济12850+5座舒适13950+7座25700+9座32150+12座40700+14座42850+19座52500"
257,12900,"5座经济12900+5座舒适14000+7座25800+9座32250+12座40850+14座43000+19座52700"
258,12950,"5座经济12950+5座舒适14050+7座25900+9座32400+12座41050+14座43200+19座52900"
259,13000,"5座经济13000+5座舒适14100+7座26000+9座32500+12座41200+14座43350+19座53100"
260,13050,"5座经济13050+5座舒适14150+7座26100+9座32650+12座41350+14座43500+19座53300"
261,13100,"5座经济13100+5座舒适14200+7座26200+9座32750+12座41500+14座43700+19座53500"
262,13150,"5座经济13150+5座舒适14250+7座26300+9座32900+12座41650+14座43850+19座53700"
263,13200,"5座经济13200+5座舒适14300+7座26400+9座33000+12座41800+14座44000+19座53900"
264,13250,"5座经济13250+5座舒适14400+7座26500+9座33150+12座42000+14座44200+19座54150"
265,13300,"5座经济13300+5座舒适14450+7座26600+9座33250+12座42150+14座44350+19座54350"
266,13350,"5座经济13350+5座舒适14500+7座26700+9座33400+12座42300+14座44500+19座54550"
267,13400,"5座经济13400+5座舒适14550+7座26800+9座33500+12座42450+14座44700+19座54750"
268,13450,"5座经济13450+5座舒适14600+7座26900+9座33650+12座42600+14座44850+19座54950"
269,13500,"5座经济13500+5座舒适14650+7座27000+9座33750+12座42750+14座45000+19座55150"
270,13550,"5座经济13550+5座舒适14700+7座27100+9座33900+12座42950+14座45200+19座55350"
271,13600,"5座经济13600+5座舒适14750+7座27200+9座34000+12座43100+14座45350+19座55550"
272,13650,"5座经济13650+5座舒适14800+7座27300+9座34150+12座43250+14座45500+19座55750"
273,13700,"5座经济13700+5座舒适14850+7座27400+9座34250+12座43400+14座45700+19座55950"
274,13750,"5座经济13750+5座舒适14900+7座27500+9座34400+12座43550+14座45850+19座56150"
275,13800,"5座经济13800+5座舒适14950+7座27600+9座34500+12座43700+14座46000+19座56350"
276,13850,"5座经济13850+5座舒适15050+7座27700+9座34650+12座43900+14座46200+19座56600"
277,13900,"5座经济13900+5座舒适15100+7座27800+9座34750+12座44050+14座46350+19座56800"
278,13950,"5座经济13950+5座舒适15150+7座27900+9座34900+12座44200+14座46500+19座57000"
279,14000,"5座经济14000+5座舒适15200+7座28000+9座35000+12座44350+14座46700+19座57200"
280,14050,"5座经济14050+5座舒适15250+7座28100+9座35150+12座44500+14座46850+19座57400"
281,14100,"5座经济14100+5座舒适15300+7座28200+9座35250+12座44650+14座47000+19座57600"
282,14150,"5座经济14150+5座舒适15350+7座28300+9座35400+12座44850+14座47200+19座57800"
283,14200,"5座经济14200+5座舒适15400+7座28400+9座35500+12座45000+14座47350+19座58000"
284,14250,"5座经济14250+5座舒适15450+7座28500+9座35650+12座45150+14座47500+19座58200"
285,14300,"5座经济14300+5座舒适15500+7座28600+9座35750+12座45300+14座47700+19座58400"
286,14350,"5座经济14350+5座舒适15550+7座28700+9座35900+12座45450+14座47850+19座58600"
287,14400,"5座经济14400+5座舒适15600+7座28800+9座36000+12座45600+14座48000+19座58800"
288,14450,"5座经济14450+5座舒适15700+7座28900+9座36150+12座45800+14座48200+19座59050"
289,14500,"5座经济14500+5座舒适15750+7座29000+9座36250+12座45950+14座48350+19座59250"
290,14550,"5座经济14550+5座舒适15800+7座29100+9座36400+12座46100+14座48500+19座59450"
291,14600,"5座经济14600+5座舒适15850+7座29200+9座36500+12座46250+14座48700+19座59650"
292,14650,"5座经济14650+5座舒适15900+7座29300+9座36650+12座46400+14座48850+19座59850"
293,14700,"5座经济14700+5座舒适15950+7座29400+9座36750+12座46550+14座49000+19座60050"
294,14750,"5座经济14750+5座舒适16000+7座29500+9座36900+12座46750+14座49200+19座60250"
295,14800,"5座经济14800+5座舒适16050+7座29600+9座37000+12座46900+14座49350+19座60450"
296,14850,"5座经济14850+5座舒适16100+7座29700+9座37150+12座47050+14座49500+19座60650"
297,14900,"5座经济14900+5座舒适16150+7座29800+9座37250+12座47200+14座49700+19座60850"
298,14950,"5座经济14950+5座舒适16200+7座29900+9座37400+12座47350+14座49850+19座61050"
